feature,genre,system,category,ai_var,human_var,var_ratio,levene_p,levene_p_adj
mfcc_7_std,metal,lyria,Timbral (MFCC),2.556568734743368,3.4157571161700586,0.7484632682577672,0.8956727652798863,0.9534581049753628
mfcc_8_std,metal,lyria,Timbral (MFCC),1.942995586312322,2.3366184444962053,0.8315416626488406,0.7685532837778731,0.8454086121556604
mfcc_9_std,metal,lyria,Timbral (MFCC),1.7420354646292642,2.061438917000476,0.8450580079103368,0.42157934040820255,0.515263638276692
mfcc_10_std,metal,lyria,Timbral (MFCC),1.0801496731949831,1.7652913574056355,0.6118818112735949,0.028962652597643964,0.059735470982640676
mfcc_11_std,metal,lyria,Timbral (MFCC),1.7462250637394172,1.6311211355203648,1.0705673697142866,0.9679377671901719,0.9835298567977429
mfcc_12_std,metal,lyria,Timbral (MFCC),0.8915538880697581,1.4200875657168521,0.6278161358449095,0.054470089189099145,0.10271502532801553
mfcc_delta_mean,metal,lyria,Timbral (MFCC),0.00011176297860725886,8.004934015361475e-05,1.396176138276538,0.16764650926038896,0.25146976389058345
mfcc_delta_std,metal,lyria,Timbral (MFCC),1.1062066989460742,0.38024074489764587,2.9092271509299867,0.0001694395999710224,0.000798786685577677
mfcc_delta2_mean,metal,lyria,Timbral (MFCC),2.286720814295609e-05,2.148321346327219e-05,1.0644221443896178,0.19921805005416107,0.28583459355597024
mfcc_delta2_std,metal,lyria,Timbral (MFCC),0.4567929338812702,0.16314099739806776,2.799988605970607,2.0715588197649046e-05,0.00018443216412401302
chroma_entropy,metal,lyria,Key / Tonal,0.0003437039466002898,0.000725600886439679,0.4736818174061902,0.5355726172239623,0.6312105845853841
key_clarity,metal,lyria,Key / Tonal,0.0322963929049289,0.02975409699264266,1.085443558005302,0.38024004367468867,0.4920753506378324
spectral_centroid_cv,metal,lyria,Intra-track,0.012585431060662133,0.00797483290529273,1.5781435435856523,0.21832882966787626,0.3065894203846773
onset_strength_cv,metal,lyria,Intra-track,0.11188387841769074,0.021085883057015007,5.306103525053383,1.2704216500472124e-14,8.384782890311602e-13
rms_cv,metal,lyria,Intra-track,0.019436278698442146,0.014544999711388912,1.3362859459683112,0.11474159723830457,0.18932363544320255
spectral_centroid_mean,afrobeats,suno,Spectral,369713.3444899664,274451.7830172284,1.3470976228518727,0.05859877920176601,0.07821357356187657
spectral_centroid_std,afrobeats,suno,Spectral,69721.45906745477,51258.51548712906,1.3601927095403636,0.10055712160665446,0.13013274560861166
spectral_centroid_var,afrobeats,suno,Spectral,186133802761.52145,213903325297.93076,0.8701772284384495,0.8536433647629786,0.8803197199118217
spectral_bandwidth_mean,afrobeats,suno,Spectral,450344.45486087806,196345.76864174998,2.293629539236829,0.00023524668743909755,0.0009133106688812022
spectral_bandwidth_std,afrobeats,suno,Spectral,45123.708540084896,29887.00966645406,1.509810082831167,0.11886388514964435,0.15086570038224092
spectral_rolloff_mean,afrobeats,suno,Spectral,2225788.0721081677,1497322.6072256854,1.4865120324551966,0.00886267185782154,0.01772534371564308
spectral_rolloff_std,afrobeats,suno,Spectral,344208.22350580787,189075.64314658102,1.8204789246119883,0.013215653673403611,0.022817158409262295
spectral_flatness_mean,afrobeats,suno,Spectral,0.048886518985349965,0.00010516484838069658,464.8560782247395,0.00644807779414063,0.01329916045041505
spectral_flatness_std,afrobeats,suno,Spectral,0.007812590557255474,0.00022197074742787013,35.196487139793916,0.003197701257221838,0.007537438677737189
spectral_contrast_mean,afrobeats,suno,Spectral,4.320697951679887,1.368166041771694,3.158021628781868,0.038988001213195414,0.05474910808661483
spectral_contrast_std,afrobeats,suno,Spectral,3.375060317343653,0.3620714606525104,9.321530924478989,0.002655149906465242,0.00667569540562333
zero_crossing_rate_mean,afrobeats,suno,Spectral,0.00040622268649664276,0.0006073229537315862,0.6688742521597131,0.20833517577284963,0.25000221092741953
zero_crossing_rate_std,afrobeats,suno,Spectral,0.00043432874158073583,0.00029953456871886986,1.4500120751951604,0.16160685499443952,0.20124627225722658
harmonic_ratio,afrobeats,suno,Prompt-encoded,0.03428113351201692,0.03185582866556232,1.0761337861248754,0.2516078255950814,0.2913353770048311
tempo,afrobeats,suno,Prompt-encoded,417.5772375972998,386.1307683726565,1.0814399467754774,0.9865857779237477,0.9865857779237478
onset_density,afrobeats,suno,Prompt-encoded,3.771229629629629,1.2138382716049383,3.1068633423819345,0.0021040612649965394,0.0055547217395908646
